Card,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"Klinklang 2025 Scarlet & Violet: Black Bolt #063/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","165.00","$1.65","$1.00","$2.65 (10/14/2025)","$1.82","$1.00","$2.65","-50.00","2","$3.65"
"Crispin 2025 Scarlet & Violet: Prismatic Evolutions #105/131 Poke Ball Reverse Holo Raw TCG (Near Mint)","163.95","$2.82","$1.72","$4.54 (10/22/2025)","$2.10","$0.99","$4.54","-22.22","7","$14.72"
"Crustle 2025 Scarlet & Violet: Destined Rivals #012/182 Holo Raw TCG (Near Mint)","162.63","$1.61","$0.99","$2.60 (10/21/2025)","$1.31","$0.99","$2.60","-37.50","5","$6.56"
"Solosis 2025 Japanese Scarlet & Violet: Black Bolt #123/086 Art Rare Raw TCG (Near Mint)","161.94","$10.51","$6.49","$17.00 (10/24/2025)","$14.75","$4.93","$70.00","57.69","41","$604.90"
"Thundurus 2025 Scarlet & Violet: Black Bolt #033/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","160.00","$1.60","$1.00","$2.60 (10/23/2025)","$2.18","$1.00","$2.70","150.00","5","$10.90"
"Galvantula 2025 Scarlet & Violet: White Flare #034/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","159.33","$2.39","$1.50","$3.89 (10/17/2025)","$1.98","$1.50","$3.89","250.00","7","$13.84"
"Aromatisse 2025 Scarlet & Violet: Prismatic Evolutions #039/131 Base Raw TCG (Near Mint)","155.71","$1.09","$0.70","$1.79 (10/13/2025)","$1.25","$0.70","$1.79","100.00","2","$2.49"
"Regirock 2025 Scarlet & Violet: Journey Together #082/159 Reverse Holo Raw TCG (Near Mint)","154.62","$1.84","$1.19","$3.03 (10/06/2025)","$2.42","$1.19","$3.03","-62.50","3","$7.25"
"Palpitoad 2025 Scarlet & Violet: Black Bolt #104/086 Illustration Rare Raw TCG (Near Mint)","150.19","$12.00","$7.99","$19.99 (10/23/2025)","$12.56","$5.00","$33.00","50.00","66","$828.68"
"Minccino 2025 Scarlet & Violet: Black Bolt #075/086 Master Ball Reverse Holo Raw TCG (Near Mint)","148.76","$2.99","$2.01","$5.00 (10/21/2025)","$4.72","$2.01","$6.76","175.00","11","$51.91"
"Munna 2025 Scarlet & Violet: Black Bolt #035/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","148.00","$1.48","$1.00","$2.48 (10/23/2025)","$1.60","$1.00","$2.48","20.00","6","$9.60"
"Slowpoke 2025 Scarlet & Violet: Prismatic Evolutions #018/131 Master Ball Reverse Holo Raw TCG (Near Mint)","146.99","$8.07","$5.49","$13.56 (10/24/2025)","$5.68","$1.25","$13.99","0.00","18","$102.28"
"Haxorus 2025 Scarlet & Violet: Black Bolt #070/086 Reverse Holo Raw TCG (Near Mint)","145.77","$2.07","$1.42","$3.49 (10/05/2025)","$2.46","$1.42","$3.49","-50.00","2","$4.91"
"Gothorita 2025 Scarlet & Violet: White Flare #042/086 Master Ball Reverse Holo Raw TCG (Near Mint)","144.44","$6.50","$4.50","$11.00 (10/24/2025)","$8.75","$4.50","$11.34","0.00","6","$52.52"
"Genesect ex 2025 Japanese Scarlet & Violet: Black Bolt #164/086 Super Rare (Full Art) Raw TCG (Near Mint)","139.64","$3.84","$2.75","$6.59 (10/14/2025)","$4.81","$2.75","$8.35","100.00","6","$28.87"
"Sandile 2025 Scarlet & Violet: Black Bolt #057/086 Master Ball Reverse Holo Raw TCG (Near Mint)","137.92","$3.71","$2.69","$6.40 (10/12/2025)","$4.54","$2.69","$6.40","-33.33","2","$9.09"
"Espeon ex 2025 Scarlet & Violet: Prismatic Evolutions #034/131 Double Rare Raw TCG (Near Mint)","137.43","$2.57","$1.87","$4.44 (10/24/2025)","$3.81","$0.99","$8.56","-11.83","82","$312.36"
"Palpitoad 2025 Japanese Scarlet & Violet: Black Bolt #108/086 Art Rare Raw TCG (Near Mint)","136.86","$4.79","$3.50","$8.29 (10/24/2025)","$5.38","$3.25","$8.99","69.23","22","$118.44"
"Team Rocket's Crobat ex 2025 Scarlet & Violet: Destined Rivals #122/182 Double Rare Raw TCG (Near Mint)","136.67","$1.37","$1.00","$2.37 (10/24/2025)","$2.18","$0.99","$5.83","-17.31","43","$93.95"
"Gothita 2025 Scarlet & Violet: White Flare #041/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","135.38","$1.76","$1.30","$3.06 (10/22/2025)","$2.08","$1.30","$3.06","0.00","5","$10.41"
"Blaziken 2025 Japanese Scarlet & Violet: Glory of Team Rocket #020/098 Holo Raw TCG (Near Mint)","135.35","$1.34","$0.99","$2.33 (10/19/2025)","$1.66","$0.99","$2.33","0.00","2","$3.32"
"Volcarona 2025 Scarlet & Violet: Black Bolt #016/086 Master Ball Reverse Holo Raw TCG (Near Mint)","135.35","$8.96","$6.62","$15.58 (10/23/2025)","$9.43","$2.00","$21.34","28.57","9","$84.90"
"Hoothoot 2025 Scarlet & Violet: Prismatic Evolutions #077/131 Master Ball Reverse Holo Raw TCG (Near Mint)","132.76","$3.85","$2.90","$6.75 (10/24/2025)","$4.78","$2.44","$10.95","40.00","14","$66.96"
"Slowking 2025 Scarlet & Violet: Prismatic Evolutions #019/131 Reverse Holo Raw TCG (Near Mint)","132.71","$1.42","$1.07","$2.49 (10/20/2025)","$1.78","$1.07","$2.49","100.00","2","$3.56"
"Cornerstone Mask Ogerpon ex 2025 Scarlet & Violet: Prismatic Evolutions #058/131 Double Rare Raw TCG (Near Mint)","131.99","$1.89","$1.43","$3.32 (10/24/2025)","$2.35","$1.00","$4.45","50.00","39","$91.59"
"Cofagrigus 2025 Scarlet & Violet: White Flare #040/086 Reverse Holo Raw TCG (Near Mint)","130.56","$1.41","$1.08","$2.49 (10/13/2025)","$1.75","$1.08","$2.49","0.00","3","$5.26"
"Ruffian 2025 Japanese Scarlet & Violet: Battle Partners #122/100 Super Rare (Full Art) Raw TCG (Near Mint)","129.00","$2.58","$2.00","$4.58 (10/22/2025)","$3.69","$2.00","$6.20","0.00","4","$14.78"
"Rescue Board 2025 Scarlet & Violet: Prismatic Evolutions #126/131 Reverse Holo Raw TCG (Near Mint)","128.68","$1.66","$1.29","$2.95 (10/08/2025)","$2.12","$1.29","$2.95","0.00","2","$4.24"
"Cynthia's Garchomp ex 2025 Scarlet & Violet: Destined Rivals #104/182 Double Rare Raw TCG (Near Mint)","125.38","$2.50","$1.99","$4.49 (10/22/2025)","$3.42","$1.20","$8.00","-24.68","58","$198.54"
"Swoobat 2025 Scarlet & Violet: White Flare #037/086 Reverse Holo Raw TCG (Near Mint)","125.00","$1.45","$1.16","$2.61 (10/13/2025)","$1.60","$0.99","$2.61","33.33","4","$6.40"
"Spoink 2025 Mega Evolution #062/132 Base Raw TCG (Near Mint)","122.22","$1.21","$0.99","$2.20 (10/23/2025)","$1.80","$0.99","$2.20","0.00","3","$5.39"
"Gothitelle 2025 Scarlet & Violet: White Flare #043/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","120.81","$1.80","$1.49","$3.29 (10/17/2025)","$2.11","$1.00","$3.29","-50.00","5","$10.56"
"Lampent 2025 Scarlet & Violet: White Flare #017/086 Master Ball Reverse Holo Raw TCG (Near Mint)","119.89","$8.38","$6.99","$15.37 (10/21/2025)","$9.42","$5.89","$15.37","-75.00","3","$28.25"
"Zoroark 2025 Scarlet & Violet: White Flare #062/086 Poke Ball Reverse Holo Raw TCG (Near Mint)","116.00","$1.74","$1.50","$3.24 (10/22/2025)","$1.97","$1.00","$3.24","28.57","9","$17.73"
"Lillipup 2025 Scarlet & Violet: White Flare #074/086 Master Ball Reverse Holo Raw TCG (Near Mint)","115.60","$1.45","$1.25","$2.70 (10/18/2025)","$2.71","$1.25","$4.95","-37.50","5","$13.54"
"Herdier 2025 Scarlet & Violet: White Flare #075/086 Master Ball Reverse Holo Raw TCG (Near Mint)","114.79","$4.58","$3.99","$8.57 (10/24/2025)","$6.84","$3.99","$8.57","-25.00","3","$20.51"
"Team Rocket's Articuno 2025 Scarlet & Violet: Destined Rivals #051/182 Reverse Holo Raw TCG (Near Mint)","114.71","$1.17","$1.02","$2.19 (10/24/2025)","$1.92","$1.02","$4.01","0.00","13","$24.94"
"Sawk 2025 Japanese Scarlet & Violet: White Flare #128/086 Art Rare Raw TCG (Near Mint)","114.59","$2.67","$2.33","$5.00 (10/23/2025)","$4.25","$1.61","$6.73","-40.74","16","$68.07"
